PUBMEDID,FIRST AUTHOR,CATEGORY,COUNTRY OF ORIGIN,COUNTRY OF RECRUITMENT
30134952,Traglia M,"European, South Asian, Asian unspecified, African American or Afro-Caribbean, Hispanic or Latin American",NR,U.S.
30130595,Dominguez-Cruz MG,Native American,NR,Mexico
30120420,Sun R,South Asian,NR,Bangladesh
30120420,Sun R,Hispanic or Latin American,NR,Mexico
30120336,Kikuchi M,East Asian,NR,Japan
30120429,Schlauch KA,European,NR,U.S.
30120420,Sun R,South Asian,NR,Bangladesh
30120336,Kikuchi M,East Asian,NR,Japan
30120336,Kikuchi M,East Asian,NR,Japan
30120336,Kikuchi M,East Asian,NR,Japan
30120336,Kikuchi M,East Asian,NR,Japan
30120336,Kikuchi M,East Asian,NR,Japan
30124842,Yengo L,European,NR,NR
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,East Asian,NR,NR
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,East Asian,NR,NR
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,East Asian,NR,NR
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,East Asian,NR,NR
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,East Asian,NR,NR
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,East Asian,NR,NR
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,East Asian,NR,NR
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,East Asian,NR,NR
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,East Asian,NR,NR
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,East Asian,NR,NR
30174134,Qiao L,East Asian,NR,NR
30174134,Qiao L,Other admixed ancestry,NR,China
30174134,Qiao L,East Asian,NR,NR
30124842,Yengo L,NR,NR,NR
30113228,Torgerson DG,European,NR,U.S.
30113228,Torgerson DG,Hispanic or Latin American,NR,U.S.
30116032,Erlangsen A,European,NR,Denmark
30116032,Erlangsen A,European,NR,Denmark
30174134,Qiao L,Other admixed ancestry,NR,China
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,Kuwait
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,Kuwait
30108209,Ganjgahi H,European,NR,NR
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,Kuwait
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,Kuwait
30108127,Hoffmann TJ,European,NR,NR
30108127,Hoffmann TJ,Hispanic or Latin American,NR,NR
30108127,Hoffmann TJ,East Asian,NR,NR
30108127,Hoffmann TJ,African American or Afro-Caribbean,NR,NR
30108127,Hoffmann TJ,South Asian,NR,NR
30108127,Hoffmann TJ,European,NR,NR
30108127,Hoffmann TJ,South Asian,NR,NR
30108127,Hoffmann TJ,African unspecified,NR,NR
30108127,Hoffmann TJ,NR,NR,NR
30120083,Ferguson A,European,NR,U.K.
30108155,Hebbar P,"Greater Middle Eastern (Middle Eastern, North African or Persian)",Kuwait,Kuwait
30104567,Ji X,European,NR,"U.S., Italy, NR"
30104567,Ji X,European,NR,NR
30104601,Ren H,European,NR,NR
30102696,Chen Y,European,NR,U.S.
30104567,Ji X,European,NR,"U.S., Italy, NR"
30104567,Ji X,European,NR,NR
30104567,Ji X,European,NR,"U.S., Italy, NR"
30102679,Hara M,East Asian,NR,Japan
30102679,Hara M,East Asian,NR,Japan
30093612,O'Mara TA,European,NR,"U.S., Australia, Belgium, Germany, Norway, Sweden, U.K."
30093612,O'Mara TA,European,NR,"U.S., Australia, Belgium, Germany, Norway, Sweden, U.K."
30093639,Machiela MJ,European,NR,"U.S., France, Spain"
30093639,Machiela MJ,European,NR,"France, Germany"
30093612,O'Mara TA,European,NR,"U.S., Australia, Belgium, Germany, Norway, Sweden, U.K."
30089514,Chen JA,European,NR,"U.S., France, Germany, U.K., NR"
30087447,Aubart M,European,NR,NR
30087453,Yilmaz Z,European,NR,NR
30099483,Hwangbo Y,East Asian,NR,Republic of Korea
30099483,Hwangbo Y,East Asian,NR,Republic of Korea
30070759,Olsson M,European,NR,Sweden
30196823,Blum S,European,NR,Australia
30068317,Li X,European,NR,NR
30067744,Howe LJ,European,NR,NR
30067744,Howe LJ,NR,NR,NR
30067744,Howe LJ,European,NR,"U.S., U.K."
30066433,Jabbari E,European,NR,U.K.
30061609,Wyss AB,African unspecified,NR,"U.S., Brazil"
30061609,Wyss AB,Hispanic or Latin American,NR,U.S.
30061609,Wyss AB,East Asian,NR,Republic of Korea
30061737,Nielsen JB,European,NR,"U.S., Iceland, Norway, U.K."
30054556,Akiyama M,East Asian,NR,Japan
30060048,Wang SC,East Asian,NR,Taiwan
30054458,Xue A,European,NR,NR
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30053915,Scepanovic P,European,France,France
30054594,MacGregor S,European,NR,NR
30054458,Xue A,European,NR,NR
30048462,Kim SK,European,NR,NR
30049742,Terzikhan N,European,NR,"U.S., Netherlands"
30038396,Lee JJ,European,NR,"U.S., NR"
30038396,Lee JJ,European,NR,"U.K., NR"
30038396,Lee JJ,European,NR,"U.S., Australia, Austria, Belgium, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Iceland, Norway, Sweden, U.K., Croatia, Greece, Italy"
30079052,Rujescu D,European,NR,Germany
30031151,Virtanen VB,European,NR,Finland
30031151,Virtanen VB,European,NR,Sweden
30019117,Liu J,NR,NR,NR
30145303,Kimbrel NA,European,NR,U.S.
30145303,Kimbrel NA,NR,NR,U.S.
30145303,Kimbrel NA,NR,NR,U.S.
30013178,Kowalec K,European,NR,Canada
30013184,Waage J,"European, NR",NR,"Australia, Germany, Netherlands, Denmark, Finland, U.K."
30014611,Weiss RB,European,NR,NR
30012571,Jia X,East Asian,NR,Japan
30009487,Schoeler NE,NR,NR,"Australia, U.K."
30013184,Waage J,"European, NR",NR,"France, Germany, Switzerland, Estonia, Finland, Iceland, Norway, Sweden, U.K., Spain, Austria, NR"
29988085,Merino J,European,NR,"Canada, U.S., Australia, Netherlands, Denmark, Finland, Sweden, U.K., Greece, Italy"
29988085,Merino J,European,NR,"Canada, U.S., Netherlands, U.K."
30034349,Lin E,East Asian,NR,Taiwan
29975729,Kim TH,East Asian,NR,NR
29970889,Day FR,European,NR,NR
29970928,Zhu Z,East Asian,NR,China
29970928,Zhu Z,East Asian,NR,China
29971594,Rosenberger A,European,NR,"Canada, U.S., Germany, Netherlands, Israel, Denmark, Finland, Norway, Sweden, U.K., Italy, Spain, NR"
29970928,Zhu Z,East Asian,NR,China
29970928,Zhu Z,East Asian,NR,China
29970928,Zhu Z,East Asian,NR,China
29970928,Zhu Z,East Asian,NR,China
29970928,Zhu Z,East Asian,NR,China
29970889,Day FR,European,NR,NR
29970889,Day FR,European,NR,NR
30004843,Ge S,East Asian,NR,China
30045251,Lee MR,East Asian,NR,Republic of Korea
30065583,Choi MR,East Asian,NR,NR
29947131,Smit DJA,"European, NR",NR,"Australia, U.S., Netherlands"
29942085,Nagel M,European,NR,NR
29953918,Deng C,East Asian,NR,China
29942085,Nagel M,European,NR,"U.S., Australia, Netherlands, Estonia, Finland, U.K., Italy, NR"
29942085,Nagel M,European,NR,NR
29934777,Witten A,European,NR,Germany
29934777,Witten A,European,NR,Germany
29931343,Haworth S,European,NR,"U.S., Australia, Germany, Netherlands, Denmark, Finland, U.K."
29931343,Haworth S,NR,NR,"U.S., Australia, Germany, Netherlands, Denmark, Finland, U.K."
29931343,Haworth S,European,NR,"U.S., Australia, Germany, Netherlands, Denmark, Finland, U.K."
29923122,Kakuta Y,East Asian,NR,Japan
29923122,Kakuta Y,East Asian,NR,Japan
29923122,Kakuta Y,East Asian,NR,Japan
29923122,Kakuta Y,East Asian,NR,Japan
29923122,Kakuta Y,East Asian,NR,Japan
29923122,Kakuta Y,East Asian,NR,Japan
29923122,Kakuta Y,East Asian,NR,Japan
29921221,Cha S,East Asian,NR,Republic of Korea
29921221,Cha S,East Asian,NR,Republic of Korea
29921221,Cha S,East Asian,NR,Republic of Korea
29921221,Cha S,East Asian,NR,Republic of Korea
29921221,Cha S,East Asian,NR,Republic of Korea
29921221,Cha S,East Asian,NR,Republic of Korea
29921221,Cha S,East Asian,NR,Republic of Korea
29924316,Byun J,European,NR,"Canada, U.S., Iceland, Italy, NR"
29924316,Byun J,European,NR,"Canada, U.S., Iceland, Italy, NR"
29923122,Kakuta Y,East Asian,NR,Japan
29924316,Byun J,European,NR,"Canada, U.S., Iceland, Italy, NR"
29921221,Cha S,East Asian,NR,Republic of Korea
29923122,Kakuta Y,East Asian,NR,Japan
29915124,Marini S,European,NR,U.S.
29915124,Marini S,European,NR,"Sweden, Spain"
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR"
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR"
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR"
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore"
29912962,Feitosa MF,African American or Afro-Caribbean,NR,"U.S., Jamaica"
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, Sri Lanka, U.K."
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR"
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR"
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, U.K."
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore"
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR"
29912962,Feitosa MF,African American or Afro-Caribbean,NR,"U.S., Jamaica"
29912962,Feitosa MF,Hispanic or Latin American,NR,U.S.
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR"
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore"
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR"
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, Sri Lanka, U.K."
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR"
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore"
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR"
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, U.K."
29912962,Feitosa MF,Hispanic or Latin American,NR,U.S.
29912962,Feitosa MF,European,NR,"U.S., Netherlands, Iceland, U.K., Croatia, NR"
29912962,Feitosa MF,African American or Afro-Caribbean,NR,U.S.
29912962,Feitosa MF,Hispanic or Latin American,NR,"U.S., Brazil"
29912962,Feitosa MF,European,NR,"France, Germany, Netherlands, Switzerland, Denmark, Estonia, U.S., Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR"
29912962,Feitosa MF,African American or Afro-Caribbean,NR,"U.S., Jamaica"
29915124,Marini S,European,NR,"Spain, Sweden"
29912962,Feitosa MF,Asian unspecified,NR,"U.S., China, Singapore"
29912962,Feitosa MF,European,NR,"U.S., France, Germany, Netherlands, Switzerland, Denmark, Estonia, Finland, Republic of Ireland, Norway, Sweden, U.K., Greece, Italy, Spain, NR"
29912962,Feitosa MF,Asian unspecified,NR,"China, Japan, U.K."
29912962,Feitosa MF,Hispanic or Latin American,NR,U.S.
29917119,Schmit SL,European,NR,"Canada, U.S., Australia, Austria, Germany, Israel, Finland, Sweden, U.K., Italy, Spain, Puerto Rico, NR"
29917119,Schmit SL,Hispanic or Latin American,NR,"Mexico, U.S., Cuba"
29917119,Schmit SL,African American or Afro-Caribbean,NR,U.S.
29903748,Debiec H,European,NR,"France, Italy, Spain, NR"
29903748,Debiec H,African unspecified,NR,"France, NR"
29898447,Alaraudanjoki VK,European,NR,Finland
29898447,Alaraudanjoki VK,European,NR,Finland
29942513,Penney ME,European,NR,Canada
29899525,Klimentidis YC,European,NR,U.K.
29907492,Nakahara S,Asian unspecified,NR,NR
29907492,Nakahara S,African American or Afro-Caribbean,NR,NR
29907492,Nakahara S,Oceanian,NR,NR
29907492,Nakahara S,European,NR,NR
29895819,Endo C,East Asian,NR,NR
29907492,Nakahara S,Native American,NR,NR
29907492,Nakahara S,Asian unspecified,NR,NR
29907492,Nakahara S,African American or Afro-Caribbean,NR,NR
29907492,Nakahara S,Oceanian,NR,NR
29895819,Endo C,East Asian,NR,NR
29895819,Endo C,East Asian,NR,NR
29895819,Endo C,East Asian,NR,NR
29895819,Endo C,East Asian,NR,NR
29895819,Endo C,East Asian,NR,NR
29907492,Nakahara S,Native American,NR,NR
29907492,Nakahara S,African American or Afro-Caribbean,NR,NR
29907492,Nakahara S,Oceanian,NR,NR
29907492,Nakahara S,European,NR,NR
29907492,Nakahara S,Oceanian,NR,NR
29907492,Nakahara S,European,NR,NR
29907492,Nakahara S,Asian unspecified,NR,NR
29907492,Nakahara S,European,NR,NR
29907492,Nakahara S,Asian unspecified,NR,NR
29907492,Nakahara S,African American or Afro-Caribbean,NR,NR
29907492,Nakahara S,Oceanian,NR,NR
29907492,Nakahara S,Native American,NR,NR
29907492,Nakahara S,Asian unspecified,NR,NR
29907492,Nakahara S,African American or Afro-Caribbean,NR,NR
29892015,Roselli C,European,NR,"U.S., Australia, Germany, Netherlands, Denmark, Estonia, Norway, Sweden, NR"
29892015,Roselli C,East Asian,NR,NR
29892015,Roselli C,African American or Afro-Caribbean,NR,U.S.
29892015,Roselli C,Hispanic or Latin American,NR,"Brazil, NR"
29891935,Choquet H,European,NR,NR
29891935,Choquet H,East Asian,NR,NR
29891935,Choquet H,African American or Afro-Caribbean,NR,U.S.
29891935,Choquet H,African unspecified,NR,U.K.
29892016,Schumacher FR,European,NR,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Japan, Bulgaria, Poland, Denmark, Finland, Norway, Sweden, U.K., Portugal, Spain"
29891935,Choquet H,Hispanic or Latin American,NR,NR
29891935,Choquet H,African American or Afro-Caribbean,NR,U.S.
29891935,Choquet H,European,NR,NR
29891935,Choquet H,East Asian,NR,NR
29891935,Choquet H,Hispanic or Latin American,NR,NR
29891935,Choquet H,East Asian,NR,NR
29891935,Choquet H,African American or Afro-Caribbean,NR,U.S.
29891935,Choquet H,European,NR,NR
29891935,Choquet H,African unspecified,NR,U.K.
29891935,Choquet H,East Asian,NR,NR
29891935,Choquet H,Other admixed ancestry,NR,NR
29892016,Schumacher FR,European,NR,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Japan, Bulgaria, Poland, Denmark, Finland, Norway, Sweden, U.K., Portugal, Spain"
29892016,Schumacher FR,European,NR,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Japan, Bulgaria, Poland, Denmark, Finland, Norway, Sweden, U.K., Portugal, Spain"
29892016,Schumacher FR,European,NR,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Japan, Bulgaria, Poland, Denmark, Finland, Norway, Sweden, U.K., Portugal, Spain"
29892016,Schumacher FR,European,NR,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Japan, Bulgaria, Poland, Denmark, Finland, Norway, Sweden, U.K., Portugal, Spain"
29885931,Langefeld CD,African American or Afro-Caribbean,NR,U.S.
29875475,Montalvo-Ortiz JL,African American or Afro-Caribbean,NR,U.S.
29875475,Montalvo-Ortiz JL,European,NR,U.S.
29875475,Montalvo-Ortiz JL,African American or Afro-Caribbean,NR,U.S.
29885931,Langefeld CD,African American or Afro-Caribbean,NR,U.S.
29885931,Langefeld CD,African American or Afro-Caribbean,NR,U.S.
29883787,Gregson CL,European,NR,"Australia, New Zealand, U.K."
29883787,Gregson CL,European,NR,"Australia, New Zealand, U.K."
29967566,Roberts CH,European,NR,Netherlands
29855537,Hirata T,East Asian,NR,NR
