PUBMEDID,FIRST AUTHOR,CATEGORY,COUNTRY OF ORIGIN,COUNTRY OF RECRUITMENT,ADDITONAL ANCESTRY DESCRIPTION
29615537,Kulminski AM,European,NR,NR,Caucasian ancestry
29615537,Kulminski AM,European,NR,NR,Caucasian ancestry
29615537,NA,European,NR,NR,Caucasian ancestry
29615537,NA,European,NR,NR,Caucasian ancestry
29615537,Kulminski AM,European,NR,NA,NA
29615537,Kulminski AM,European,NR,NA,Caucasian ancestry
29615537,Kulminski AM,NA,NR,NR,Caucasian ancestry
29497042,Verweij N,European,NR,U.K.,
29497042,Verweij N,Asian unspecified,NR,U.K.,
29497042,Verweij N,African unspecified,NA,U.K.,
29497042,Verweij N,Other admixed ancestry,NR,U.K.,
29497042,Verweij N,"Other, NR",NR,U.K.,
29497042,Verweij N,European,NR,U.K.,
29497042,Verweij N,Asian unspecified,NR,U.K.,
29497042,Verweij N,African unspecified,NR,U.K.,
29497042,NA,Other admixed ancestry,NR,U.K.,
29497042,Verweij N,"Other, NR",NR,U.K.,
29489655,Liu X,European,NR,U.S.,
29489655,Liu X,European,NR,U.S.,
29489655,Liu X,European,NR,U.S.,
29489655,Liu X,European,NR,U.S.,
29489655,Liu X,European,NR,U.S.,
29489655,Liu X,European,NR,U.S.,NA
29545823,O'Brien KM,NA,NR,"U.S., Puerto Rico",
29545823,O'Brien KM,European,NR,"U.S., Puerto Rico",NA
29545823,O'Brien KM,Hispanic or Latin American,NR,"U.S., Puerto Rico",
29545823,O'Brien KM,Other,NR,"U.S., Puerto Rico",
29545823,O'Brien KM,European,NR,"U.S., Puerto Rico",
29545823,O'Brien KM,African American or Afro-Caribbean,NR,"U.S., Puerto Rico",
29545823,O'Brien KM,Hispanic or Latin American,NR,"U.S., Puerto Rico",
29545823,O'Brien KM,Other,NR,"U.S., Puerto Rico",NA
29503163,Yu H,East Asian,NR,China,Han Chinese
29503163,NA,East Asian,NR,China,NA
29494758,Liu L,East Asian,NR,NA,Han Chinese
29494758,Liu L,East Asian,NR,NR,Han Chinese
29489655,Liu X,NA,NR,U.S.,
29521573,NA,"European, African unspecified, Asian unspecified, Hispanic or Latin American, NR",NR,NR,
29497042,Verweij N,European,NA,U.K.,
29497042,Verweij N,Asian unspecified,NR,U.K.,
29497042,Verweij N,African unspecified,NR,U.K.,NA
29497042,Verweij N,Other admixed ancestry,NR,U.K.,
29497042,Verweij N,NA,NR,U.K.,
29497042,Verweij N,European,NR,U.K.,
29497042,Verweij N,Asian unspecified,NR,U.K.,
29497042,Verweij N,African unspecified,NR,U.K.,NA
29497042,Verweij N,Other admixed ancestry,NR,U.K.,
29497042,Verweij N,"Other, NR",NR,U.K.,
29497042,Verweij N,European,NR,U.K.,
29497042,Verweij N,Asian unspecified,NR,U.K.,
29497042,Verweij N,African unspecified,NA,U.K.,
29497042,Verweij N,NA,NR,U.K.,NA
29497042,Verweij N,"Other, NR",NR,U.K.,
29489655,Liu X,European,NR,U.S.,
29535370,Kleinstein SE,European,NR,U.S.,
29499414,Pei YF,European,NR,NR,
29499414,Pei YF,East Asian,NR,China,Chinese Han
29499414,Pei YF,African American or Afro-Caribbean,NR,U.S.,
29499414,Pei YF,Hispanic or Latin American,NR,U.S.,Admixed American population
29499414,Pei YF,European,NA,NA,
29499414,Pei YF,East Asian,NR,NA,Chinese Han
29499414,Pei YF,African American or Afro-Caribbean,NR,U.S.,
29499414,Pei YF,Hispanic or Latin American,NA,U.S.,Admixed American population
29495422,NA,African American or Afro-Caribbean,NR,U.S.,
29483656,Pardinas AF,European,NR,"Australia, U.K., NR",
29483656,Pardinas AF,NR,NR,"Georgia, Russian Federation, Denmark, Italy, Serbia, The former Yugoslav Republic of Macedonia",
29483656,Pardinas AF,European,NR,"Norway, Iceland",
29535761,Haaland OA,European,NA,NR,
29535761,Haaland OA,Asian unspecified,NR,NR,NA
29535761,Haaland OA,Other,NR,NR,
29535761,Haaland OA,European,NR,NR,
29535761,Haaland OA,Asian unspecified,NR,NR,
29535761,Haaland OA,Other,NR,NA,NA
29535710,Wahl A,European,NA,NR,
29535710,Wahl A,European,NR,NR,
29535761,Haaland OA,European,NR,NR,NA
29535761,NA,Asian unspecified,NR,NR,
29535761,Haaland OA,NA,NR,NR,
29478026,Shahin MH,NA,NA,U.S.,
29478026,Shahin MH,African American or Afro-Caribbean,NR,U.S.,
29478026,Shahin MH,European,NR,U.S.,NA
29478026,Shahin MH,African American or Afro-Caribbean,NR,U.S.,
29478026,Shahin MH,European,NR,U.S.,
29478026,NA,African American or Afro-Caribbean,NR,U.S.,
29478026,Shahin MH,European,NR,U.S.,NA
29478026,Shahin MH,African American or Afro-Caribbean,NR,U.S.,
29472232,Li Y,East Asian,NR,China,Han Chinese
29472232,Li Y,East Asian,NR,China,Han Chinese
29472613,NA,European,NR,U.K.,
29460428,Gelernter J,South East Asian,NR,Thailand,NA
29458411,Chung J,European,NA,NR,
29458411,Chung J,NA,NR,NR,
29458411,Chung J,European,NR,NR,
29496196,McCoy TH Jr.,European,NA,U.S.,Northern European
29496196,McCoy TH Jr.,European,NR,U.S.,Northern European
29496196,McCoy TH Jr.,European,NR,U.S.,Northern European
29496196,McCoy TH Jr.,European,NR,U.S.,Northern European
29460428,Gelernter J,South East Asian,NR,Thailand,NA
29460428,Gelernter J,South East Asian,NR,Thailand,
29496196,McCoy TH Jr.,European,NR,U.S.,Northern European
29458411,Chung J,European,NR,NR,
29471430,Tanikawa C,East Asian,NR,Japan,NA
29471430,NA,East Asian,NR,Japan,Japanese
29453196,Sato Y,East Asian,NR,Japan,Japanese
29453196,Sato Y,East Asian,NR,Japan,Japanese
29453348,Chen CJ,East Asian,NR,Taiwan,
29453348,Chen CJ,East Asian,NR,Taiwan,
29453348,Chen CJ,NA,NR,Taiwan,
29455858,Sung YJ,NA,NR,NA,NA
29455858,Sung YJ,Asian unspecified,NR,NR,
29455858,Sung YJ,Sub-Saharan African,NR,Nigeria,
29455858,Sung YJ,European,NR,"U.S., Netherlands, Iceland, Croatia, NR",NA
29455858,Sung YJ,African American or Afro-Caribbean,NR,U.S.,
29455858,NA,East Asian,NR,NR,
29455858,Sung YJ,Hispanic or Latin American,NR,"U.S., NR",
29455858,Sung YJ,European,NR,"U.S., France, Germany, Netherlands, Denmark, Estonia, Finland, Norway, Sweden, U.K., Greece, Italy, Spain",
29455858,Sung YJ,African American or Afro-Caribbean,NR,"U.S., Jamaica",
29455858,Sung YJ,East Asian,NA,"China, NR, Taiwan",
29455858,Sung YJ,NA,NA,"Sri Lanka, U.K.",
29455858,Sung YJ,Hispanic or Latin American,NA,"Brazil, U.S.",
29455858,Sung YJ,Sub-Saharan African,NR,Nigeria,
29455858,Sung YJ,European,NA,"U.S., Netherlands, Iceland",
29455858,Sung YJ,African American or Afro-Caribbean,NR,U.S.,
29455858,Sung YJ,"East Asian, Asian unspecified",NR,"U.S., Singapore",
29455858,Sung YJ,Hispanic or Latin American,NR,U.S.,
29455858,NA,European,NR,"U.S., France, Germany, Netherlands, Denmark, Estonia, Finland, Norway, Sweden, U.K., Greece, Italy, Spain",
29455858,Sung YJ,African American or Afro-Caribbean,NR,"U.S., Jamaica",
29455858,Sung YJ,East Asian,NR,"China, Taiwan",
29455858,NA,South Asian,NR,NA,
29455858,Sung YJ,Hispanic or Latin American,NR,"U.S., Brazil",NA
29455858,Sung YJ,Sub-Saharan African,NA,Nigeria,
29455858,Sung YJ,NA,NR,"Netherlands, U.S., Iceland",
29455858,Sung YJ,African American or Afro-Caribbean,NR,U.S.,
29455858,Sung YJ,"East Asian, Asian unspecified",NR,NA,
29455858,Sung YJ,Hispanic or Latin American,NR,U.S.,
29455858,Sung YJ,European,NR,"U.S., France, Germany, Netherlands, Denmark, Estonia, Finland, Norway, Sweden, U.K., Greece, Italy, Spain",
29455858,Sung YJ,African American or Afro-Caribbean,NR,"U.S., Jamaica",
29455858,Sung YJ,East Asian,NR,"China, Taiwan",
29455858,Sung YJ,NA,NR,"Sri Lanka, U.K.",
29455858,Sung YJ,NA,NR,"U.S., Brazil",
29455858,Sung YJ,Asian unspecified,NR,"U.S., Singapore",
29455858,Sung YJ,Asian unspecified,NA,NR,
29455858,Sung YJ,European,NR,"U.S., Netherlands, Iceland, Croatia, NR",NA
29455858,Sung YJ,NA,NR,U.S.,
29455858,Sung YJ,East Asian,NR,NR,
29455858,Sung YJ,Hispanic or Latin American,NR,NA,
29455858,Sung YJ,European,NR,"U.S., France, Germany, Netherlands, Denmark, Estonia, Finland, Norway, Sweden, U.K., Greece, Italy, Spain",
29455858,Sung YJ,African American or Afro-Caribbean,NR,"U.S., Jamaica",NA
29455858,Sung YJ,East Asian,NR,NA,
29455858,Sung YJ,South Asian,NA,"Sri Lanka, U.K.",
29455858,Sung YJ,Hispanic or Latin American,NR,NA,
29455858,Sung YJ,Asian unspecified,NR,"U.S., Singapore",NA
29455858,Sung YJ,Asian unspecified,NR,NR,
29455858,Sung YJ,European,NR,"U.S., Netherlands, Iceland, Croatia, NR",
29455858,Sung YJ,African American or Afro-Caribbean,NR,U.S.,
29455858,Sung YJ,East Asian,NR,NR,
29455858,NA,Hispanic or Latin American,NR,"U.S., NR",
29455858,Sung YJ,European,NR,"U.S., France, Germany, Netherlands, Denmark, Estonia, Finland, Norway, Sweden, U.K., Greece, Italy, Spain",
29455858,Sung YJ,African American or Afro-Caribbean,NR,"U.S., Jamaica",
29455858,Sung YJ,East Asian,NR,"China, NR, Taiwan",
29455858,Sung YJ,South Asian,NR,"Sri Lanka, U.K.",
29455858,Sung YJ,Hispanic or Latin American,NR,"U.S., Brazil",
29455858,Sung YJ,Asian unspecified,NR,"U.S., Singapore",
29455858,Sung YJ,Asian unspecified,NR,NR,
29455858,Sung YJ,European,NR,"U.S., Netherlands, Iceland, Croatia, NR",
29455858,Sung YJ,African American or Afro-Caribbean,NR,U.S.,
29455858,Sung YJ,East Asian,NR,NR,
29455858,Sung YJ,Hispanic or Latin American,NR,"U.S., NR",
29455858,Sung YJ,European,NR,"U.S., France, Germany, Netherlands, Denmark, Estonia, Finland, Norway, Sweden, U.K., Greece, Italy, Spain",
29455858,NA,African American or Afro-Caribbean,NA,"U.S., Jamaica",NA
29455858,Sung YJ,East Asian,NR,"China, NR, Taiwan",
29455858,Sung YJ,South Asian,NR,"Sri Lanka, U.K.",NA
29455858,Sung YJ,Hispanic or Latin American,NA,"U.S., Brazil",
29455858,Sung YJ,Asian unspecified,NR,"U.S., Singapore",
29455858,Sung YJ,NA,NR,NR,
29455858,Sung YJ,NA,NR,"U.S., Netherlands, Iceland, Croatia, NR",
29455858,Sung YJ,African American or Afro-Caribbean,NR,U.S.,
29455858,Sung YJ,East Asian,NR,NR,
29455858,Sung YJ,Hispanic or Latin American,NA,"U.S., NR",
29455858,Sung YJ,NA,NR,"U.S., France, Germany, Netherlands, Denmark, Estonia, Finland, Norway, Sweden, U.K., Greece, Italy, Spain",
29455858,Sung YJ,African American or Afro-Caribbean,NR,"U.S., Jamaica",
29455858,Sung YJ,East Asian,NA,"China, NR, Taiwan",
29455858,Sung YJ,South Asian,NR,"Sri Lanka, U.K.",
29455858,Sung YJ,Hispanic or Latin American,NR,"U.S., Brazil",
29455858,NA,Asian unspecified,NR,"U.S., Singapore",
29455858,Sung YJ,Asian unspecified,NR,NA,
29455858,Sung YJ,Sub-Saharan African,NR,NA,
29455858,Sung YJ,European,NR,"U.S., Netherlands, Iceland, Croatia, NR",
29455858,Sung YJ,African American or Afro-Caribbean,NR,U.S.,
29455858,Sung YJ,NA,NR,NR,
29455858,Sung YJ,Hispanic or Latin American,NR,NA,
29455858,Sung YJ,European,NR,"U.S., France, Germany, Netherlands, Denmark, Estonia, Finland, Norway, Sweden, U.K., Greece, Italy, Spain",
29455858,Sung YJ,African American or Afro-Caribbean,NR,NA,
29455858,NA,East Asian,NR,"China, NR, Taiwan",
29455858,Sung YJ,South Asian,NA,"Sri Lanka, U.K.",
29455858,Sung YJ,Hispanic or Latin American,NR,"Brazil, U.S.",
29455858,Sung YJ,Asian unspecified,NR,"U.S., Singapore",NA
29455858,Sung YJ,NA,NR,NA,
29455858,Sung YJ,Sub-Saharan African,NR,Nigeria,
29455858,NA,European,NR,"U.S., Netherlands, Iceland, Croatia, NR",NA
29455858,NA,African American or Afro-Caribbean,NR,U.S.,
29455858,Sung YJ,East Asian,NR,NR,
29455858,Sung YJ,Hispanic or Latin American,NR,"U.S., NR",
29455858,NA,European,NR,"U.S., France, Germany, Netherlands, Denmark, Estonia, Finland, Norway, Sweden, U.K., Greece, Italy, Spain",
29455858,Sung YJ,African American or Afro-Caribbean,NR,"U.S., Jamaica",
29455858,Sung YJ,East Asian,NR,"China, NR, Taiwan",
29455858,NA,South Asian,NR,"Sri Lanka, U.K.",
29455858,Sung YJ,Hispanic or Latin American,NR,"Brazil, U.S.",
29455858,Sung YJ,NA,NR,"Singapore, U.S.",
29455858,Sung YJ,Asian unspecified,NR,NR,
29455858,Sung YJ,Sub-Saharan African,NR,Nigeria,NA
29455858,Sung YJ,European,NR,"U.S., Netherlands, Iceland, Croatia, NR",
29455858,Sung YJ,African American or Afro-Caribbean,NR,U.S.,
29455858,Sung YJ,East Asian,NR,NR,
29455858,Sung YJ,Hispanic or Latin American,NR,"U.S., NR",NA
29455858,Sung YJ,European,NR,"U.S., France, Germany, Netherlands, Denmark, Estonia, Finland, Norway, Sweden, U.K., Greece, Italy, Spain",
29455858,Sung YJ,African American or Afro-Caribbean,NR,"U.S., Jamaica",
29455858,Sung YJ,East Asian,NR,NA,
29455858,Sung YJ,NA,NR,"Sri Lanka, U.K.",
29455858,Sung YJ,Hispanic or Latin American,NR,NA,NA
29449654,Gharahkhani P,European,NA,"New Zealand, NR, Australia",
29449654,Gharahkhani P,NR,NR,NR,
29449654,Gharahkhani P,European,NR,"Australia, New Zealand, NR",
29449654,Gharahkhani P,Asian unspecified,NR,NR,NA
29449654,Gharahkhani P,European,NR,"Australia, New Zealand, NR",NA
29449654,Gharahkhani P,Asian unspecified,NA,NR,
29449654,Gharahkhani P,European,NR,"New Zealand, Australia, NR",NA
29449654,NA,Asian unspecified,NR,NR,
29246937,Li Y,NA,NR,China,"Shaanxi, Guangdong, Beijing, Jiangsu, Guangxi populations"
29246937,NA,East Asian,NR,China,Guangxi population
29449654,Gharahkhani P,European,NR,"Australia, New Zealand, NR",
29449654,NA,Asian unspecified,NR,NR,
29452408,Shiga Y,East Asian,NR,Japan,Japanese
29452408,NA,East Asian,NR,"Japan, Singapore",Japanese; Singaporean Chinese
29452408,Shiga Y,European,NR,NR,
29452408,Shiga Y,Sub-Saharan African,NR,"Ghana, Nigeria",
29452408,Shiga Y,African American or Afro-Caribbean,NR,U.S.,
29425463,Bime C,African American or Afro-Caribbean,NR,U.S.,
29425463,NA,African American or Afro-Caribbean,NA,U.S.,
29425463,Bime C,European,NR,U.S.,
29432556,Brooke RJ,European,NR,U.S.,NA
29432556,Brooke RJ,African unspecified,NR,U.S.,NA
29422604,Klein AP,European,NR,NR,
29422604,Klein AP,NR,NR,NR,
29436472,Casalone E,European,NR,U.K.,
29436472,Casalone E,European,NR,U.K.,
29436472,Casalone E,European,NA,NA,
29436472,Casalone E,European,NA,U.K.,
29436472,Casalone E,European,NA,U.K.,
29436472,Casalone E,NA,NR,U.K.,
29436472,Casalone E,European,NR,U.K.,
29436472,Casalone E,European,NR,U.K.,
29404672,Roshandel D,European,NA,NR,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,NA,NR,Japan,
29403010,Kanai M,NA,NR,Japan,
29403010,NA,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,NA
29403010,Kanai M,NA,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,NA
29403010,Kanai M,NA,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NA,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,NA,
29403010,Kanai M,East Asian,NR,Japan,
29403010,NA,East Asian,NR,NA,
29403010,Kanai M,NA,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,NA,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NA,Japan,NA
29403010,Kanai M,East Asian,NR,Japan,
29403010,NA,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,NA
29403010,NA,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,NA,East Asian,NR,Japan,NA
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,NA,
29403010,Kanai M,East Asian,NA,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,NA,East Asian,NR,NA,
29403010,Kanai M,East Asian,NA,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,NA,NR,Japan,
29403010,NA,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29403010,NA,East Asian,NR,Japan,
29403010,NA,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,NA
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,NA,NR,Japan,
29403010,Kanai M,East Asian,NA,Japan,NA
29403010,Kanai M,East Asian,NR,Japan,
29403010,Kanai M,East Asian,NR,NA,
29403010,Kanai M,NA,NR,Japan,
29403010,Kanai M,East Asian,NR,Japan,
29404672,Roshandel D,NA,NR,"U.S., NR",
29404672,Roshandel D,European,NA,"U.S., NR",
29404672,Roshandel D,European,NR,"U.S., NR",NA
29422769,Shah RL,European,NR,NR,
29422769,Shah RL,Asian unspecified,NR,NR,
29403010,Kanai M,East Asian,NR,Japan,
29408531,Zhang D,East Asian,NR,China,
29408531,Zhang D,East Asian,NR,China,
29394082,Burkart KM,European,NR,"Finland, Sweden, U.K., Germany, Croatia, NR",
29394082,Burkart KM,Hispanic or Latin American,NR,U.S.,"Mexican, Cuban, Dominican, Puerto Rican, South American, Central American"
29394082,Burkart KM,Hispanic or Latin American,NR,U.S.,"Mexican, Cuban, Dominican, Puerto Rican, South American, Central American"
29394082,Burkart KM,European,NR,"Germany, Finland, Sweden, U.K., Croatia, NR",
29394082,Burkart KM,Hispanic or Latin American,NR,U.S.,"Mexican, Cuban, Dominican, Puerto Rican, South American, Central American"
29394082,Burkart KM,Hispanic or Latin American,NA,"Costa Rica, U.S., Brazil",
29394082,Burkart KM,NA,NR,U.S.,NA
29394082,Burkart KM,European,NR,"Germany, Finland, Sweden, U.K., Italy",
29394082,Burkart KM,Hispanic or Latin American,NR,NA,"Mexican, Cuban, Dominican, Puerto Rican, South American, Central American"
29394082,Burkart KM,Hispanic or Latin American,"Costa Rica, NR","Costa Rica, U.S., Brazil",
29394082,Burkart KM,African American or Afro-Caribbean,NR,U.S.,
29394082,Burkart KM,European,NR,"Germany, Finland, Sweden, U.K., Italy",
29391396,McElroy SL,European,NR,"NR, U.S.",European American
29391396,McElroy SL,European,NR,NA,
29391395,Strawbridge RJ,European,NR,U.K.,NA
29391395,Strawbridge RJ,European,NR,U.K.,White British
29378355,Stanne TM,European,NR,Sweden,NA
29581620,Fujii R,East Asian,NR,Japan,
29581620,Fujii R,East Asian,NR,Japan,
29392897,Hernandez-Fuentes MP,European,NR,U.K.,
29392897,Hernandez-Fuentes MP,NA,NR,NR,NA
29392897,Hernandez-Fuentes MP,European,NR,U.K.,
29392897,Hernandez-Fuentes MP,European,NR,NR,
29392897,Hernandez-Fuentes MP,European,NR,U.K.,
29392897,Hernandez-Fuentes MP,European,NR,NR,
29392897,Hernandez-Fuentes MP,European,NR,U.K.,
29392897,Hernandez-Fuentes MP,European,NR,NR,
29392897,Hernandez-Fuentes MP,European,NR,U.K.,
29392897,Hernandez-Fuentes MP,European,NR,NR,
29392897,Hernandez-Fuentes MP,NA,NR,U.K.,
29392897,Hernandez-Fuentes MP,NA,NR,NR,
29392897,Hernandez-Fuentes MP,European,NR,U.K.,
29392897,Hernandez-Fuentes MP,European,NR,NR,
29392897,Hernandez-Fuentes MP,European,NR,U.K.,
29392897,Hernandez-Fuentes MP,European,NR,NR,
29398083,Lores-Motta L,European,NA,NA,
29398083,Lores-Motta L,European,NR,"Germany, Netherlands",
29378355,Stanne TM,European,NR,Sweden,
29278617,Sucheston-Campbell LE,African American or Afro-Caribbean,NR,"U.S., NR","Black, not Hispanic"
29278617,Sucheston-Campbell LE,European,NR,"U.S., NR",NA
29385134,Kawaguchi T,NA,NR,Japan,Japanese
29397368,Meng W,European,NA,U.K.,White British
29385134,Kawaguchi T,NA,NR,Japan,Japanese
29385134,Kawaguchi T,East Asian,NR,Japan,Japanese
29385134,Kawaguchi T,East Asian,NR,NA,Japanese
29385134,Kawaguchi T,East Asian,NR,Japan,Japanese
29381699,Ravenhall M,Sub-Saharan African,NR,United Republic of Tanzania,"Mzigua, Wasambaa, Wabondei, Mmbena, Mngoni, Pare, Makonde, Mgogo, Chagga"
29381699,Ravenhall M,Sub-Saharan African,NR,United Republic of Tanzania,
29382897,NA,European,NR,Spain,Spanish of Caucasian origin
29382897,Pagerols M,Hispanic or Latin American,NA,Brazil,Brazilian
29404214,Andaleon A,Sub-Saharan African,NR,Nigeria,Yoruban
29404214,Andaleon A,Asian unspecified,NR,Philippines,"Cebu, Filipino"
29404214,Andaleon A,Sub-Saharan African,NR,Nigeria,Yoruban
29404214,NA,"European, NR",NR,NR,
29404214,Andaleon A,NA,NA,Philippines,"Cebu, Filipino"
29404214,Andaleon A,Sub-Saharan African,NR,Nigeria,Yoruban
29404214,Andaleon A,"European, NR",NR,NR,
29404214,Andaleon A,Asian unspecified,NR,NA,"Cebu, Filipino"
29404214,NA,Sub-Saharan African,NR,Nigeria,Yoruba
29404214,Andaleon A,NA,NR,NR,
29404214,Andaleon A,Asian unspecified,NR,Philippines,NA
29404214,Andaleon A,Sub-Saharan African,NR,Nigeria,Yoruban
29404214,Andaleon A,"European, NR",NR,NR,
29404214,Andaleon A,Asian unspecified,NR,Philippines,"Cebu, Filipino"
29404214,Andaleon A,Sub-Saharan African,NR,Nigeria,Yoruban
29404214,Andaleon A,Asian unspecified,NR,Philippines,"Cebu, Filipino"
29404214,Andaleon A,Sub-Saharan African,NR,Nigeria,Yoruban
29404214,Andaleon A,Asian unspecified,NR,Philippines,"Cebu, Filipino"
29404214,Andaleon A,Sub-Saharan African,NR,Nigeria,Yoruban
29404214,Andaleon A,Asian unspecified,NR,Philippines,"Cebu, Filipino"
29379196,Fadista J,European,NR,Denmark,Danish; parents & grandparents born in north-western Europe
29379196,NA,European,NR,"U.S., Finland, Sweden","Swedish, Finnish"
29374233,Lu AT,European,NA,"Australia, U.K., U.S., Italy, NR",
29374233,Lu AT,African American or Afro-Caribbean,NR,NA,
29374233,Lu AT,Hispanic or Latin American,NA,U.S.,
29374233,Lu AT,European,NR,"U.S., Australia, U.K., Italy, NR",
29374233,Lu AT,African American or Afro-Caribbean,NR,U.S.,
29374233,Lu AT,Hispanic or Latin American,NR,U.S.,
29367611,Gao B,European,NR,Australia,
29367611,Gao B,NA,NA,Australia,
29367735,Nakagawa-Senda H,East Asian,NR,Japan,Japanese
29367735,Nakagawa-Senda H,East Asian,NR,Japan,Japanese
29367735,Nakagawa-Senda H,NA,NR,Japan,Japanese
29367611,NA,European,NR,"Netherlands, Australia",
29367611,Gao B,Asian unspecified,NR,Australia,
29395996,van Laarhoven A,NR,NA,Indonesia,
29358691,Bonas-Guarch S,East Asian,NR,NR,
29358691,Bonas-Guarch S,South Asian,NR,NR,
29358691,NA,NA,NR,NA,Mexican and Mexican American
29358691,Bonas-Guarch S,European,NR,"U.S., Finland, U.K., NR",
29358691,Bonas-Guarch S,European,NR,Denmark,
29358691,NA,Hispanic or Latin American,NR,"Mexico, NR",
29358691,Bonas-Guarch S,NR,NR,NA,
29358691,Bonas-Guarch S,European,NR,"U.S., Finland",
29358691,Bonas-Guarch S,"European, South Asian, East Asian, African American or Afro-Caribbean, Hispanic or Latin American",NR,NR,
29358691,Bonas-Guarch S,European,NR,NR,
29358691,Bonas-Guarch S,European,NR,"U.S., Finland, U.K.",NA
29358691,Bonas-Guarch S,European,NR,"U.S., Finland, U.K.",
29356057,Du Z,NA,NR,Uganda,East African
29360470,Miron J,European,NR,NA, Quebec (founder/genetic isolate)
29360470,Miron J,NR,NR,NR,
29348612,NA,European,NR,U.S.,
29348612,Wiemels JL,Hispanic or Latin American,NR,U.S.,
29348612,Wiemels JL,African American or Afro-Caribbean,NA,U.S.,
29348612,Wiemels JL,European,NR,NR,NA
29348612,Wiemels JL,Hispanic or Latin American,NR,NR,NA
29343764,Jiang X,NA,NR,"U.S., Netherlands, Finland, Sweden, U.K.",
29343764,Jiang X,European,NR,Sweden,
29343764,Jiang X,European,NR,"Canada, U.S., Germany, Netherlands, Finland, Republic of Ireland, Sweden, U.K., Italy, NR",
29343764,Jiang X,NA,NR,"France, Germany, Netherlands, Denmark, Norway, Sweden, U.K., Greece, Italy, Spain",
29346644,Yan Q,European,NR,NR,Caucasian
29346644,Yan Q,European,NR,NR,Caucasian
29346644,Yan Q,European,NR,NA,Caucasian
29331962,Kochi Y,East Asian,NR,NA,
29331962,Kochi Y,East Asian,NA,NA,
29331962,Kochi Y,European,NR,NR,NA
29331962,Kochi Y,East Asian,NR,Japan,
29331962,NA,East Asian,NR,Japan,
29330379,Zuber V,"NR, European",NR,NR,
29330379,Zuber V,"European, NR",NR,NR,
29330379,Zuber V,NR,NR,NR,
29478698,Cheng Z,African American or Afro-Caribbean,NR,NA,
29478698,Cheng Z,European,NR,"U.S., NR",
29326435,Hill WD,European,NR,U.K.,White British
29326435,Hill WD,NR,NR,NR,
29327327,Lin X,"European, NR",NR,NA,
29324852,Primes G,"European, African American or Afro-Caribbean, NR",NR,U.S.,
29317602,Hall LS,European,NA,U.K.,White British; Scottish population
29317602,Hall LS,European,NR,U.K.,White British; Scottish population
29317604,Liu D,European,NR,U.S.,
29317604,Liu D,European,NR,NA,
29315334,Broce I,NR,NR,NR,
28270201,Nagy R,European,NR,NA,British
28270201,Nagy R,European,NR,U.K.,British
28270201,Nagy R,European,NR,NA,British
28270201,Nagy R,European,NR,U.K.,British
28270201,NA,European,NR,U.K.,British
28270201,Nagy R,European,NR,U.K.,British
28270201,Nagy R,European,NR,U.K.,British
28270201,Nagy R,European,NR,U.K.,British
28270201,NA,European,NR,U.K.,British
28270201,Nagy R,European,NR,U.K.,British
28270201,Nagy R,European,NA,U.K.,British
28265120,Polimanti R,African American or Afro-Caribbean,NR,U.S.,African American
28265120,Polimanti R,African American or Afro-Caribbean,NR,U.S.,African American
28265120,Polimanti R,NA,NA,U.S.,European American
28265120,Polimanti R,NA,NR,U.S.,Hispanic American
28265120,Polimanti R,European,NR,U.S.,European American
28262088,Melroy-Greif WE,Hispanic or Latin American,NR,U.S.,"Mexican Americans, Hispanic"
28262088,Melroy-Greif WE,Native American,NR,NA,American Indian
28273873,Park YM,East Asian,NR,Republic of Korea,Korean
28274756,Mhatre S,NA,NR,India,Predominantly North Indian and North East Indian population
28274756,Mhatre S,South Asian,NR,India,NA
28253294,Vonk JM,European,NR,"France, Switzerland, Russian Federation, U.K., NR",
